person_age,person_income,person_emp_length,loan_amnt,loan_int_rate,loan_term_days,Loan_Status,person_home_ownership_OWN,person_home_ownership_RENT,loan_intent_EDUCATION,loan_intent_HOMEIMPROVEMENT,loan_intent_MEDICAL,loan_intent_PERSONAL,loan_intent_VENTURE
28,31259,7,28453,5.17,360,0,0,0,1,0,0,0,0
58,68882,1,18194,7.25,1800,1,0,0,0,1,0,0,0
37,213220,17,5027,13.72,360,1,0,0,0,0,0,1,0
23,36253,1,14746,17.14,1080,1,1,0,0,1,0,0,0
44,51047,23,29479,10.44,1080,1,1,0,0,0,0,0,1
33,114276,22,3885,15.51,720,1,0,0,0,0,0,0,0
69,59235,1,25808,12.15,3600,1,0,0,1,0,0,0,0
28,48983,9,27927,17.27,720,1,0,1,0,0,0,0,1
45,84067,5,6139,6.56,360,1,0,1,0,1,0,0,0
21,70510,0,26032,13.76,1800,1,0,1,0,0,1,0,0
39,111108,26,10666,18.97,720,1,0,0,0,0,1,0,0
47,129946,19,16399,6.33,1080,1,0,1,0,0,0,0,1
66,71984,9,24435,8.95,1800,0,0,1,0,1,0,0,0
26,71327,28,27607,9.1,720,1,0,1,0,0,0,0,0
63,68081,16,21306,14.79,1800,1,0,0,0,0,1,0,0
27,80296,23,17736,16.72,1080,1,1,0,0,0,0,0,1
66,61889,7,19720,14.6,1080,1,0,1,0,0,0,0,1
54,59852,5,32605,11.71,720,1,1,0,0,0,0,1,0
33,122758,15,12705,8.76,720,1,0,1,0,0,0,0,1
36,148697,9,3232,18.93,720,1,0,1,0,0,0,0,0
55,24232,29,7783,7.72,720,1,0,0,0,0,0,1,0
69,60235,22,31388,16.54,360,1,0,0,0,0,0,0,0
59,39607,27,8322,7.35,3600,1,0,0,0,0,0,0,0
23,49682,3,26168,11.34,720,1,1,0,0,0,0,1,0
21,76229,2,15057,9.52,1080,1,0,1,0,0,0,1,0
25,89470,24,18360,9.31,720,1,0,0,0,0,1,0,0
61,55978,3,11416,9.59,360,1,0,1,0,0,1,0,0
23,18996,4,29210,17.38,360,0,0,0,0,1,0,0,0
48,33556,1,23954,8.48,1080,0,0,0,0,0,0,1,0
37,102528,19,8030,8.38,1080,1,0,1,0,0,0,0,0
45,11565,1,33590,9.99,1800,0,0,1,1,0,0,0,0
63,122082,11,20157,14.75,720,1,1,0,0,0,0,0,1
53,81857,3,19392,13.31,360,1,0,1,0,1,0,0,0
29,131887,15,5114,11.37,1800,1,0,0,0,0,0,1,0
55,53149,1,14084,19.1,720,1,0,1,0,0,0,0,1
33,17381,15,16863,7.58,1080,0,0,1,0,0,1,0,0
50,77514,27,30270,6.81,3600,1,0,0,0,0,0,0,1
67,128642,14,24762,7.65,3600,1,0,1,0,0,1,0,0
34,104279,13,10154,14.09,1800,1,0,0,0,0,0,1,0
27,40230,10,7752,16.83,3600,1,0,1,0,0,1,0,0
33,63073,14,21823,16.18,1800,1,0,0,0,0,0,0,0
42,43490,23,15754,18.66,360,1,0,1,0,0,0,0,0
59,36623,5,31252,15.99,1080,0,0,1,0,0,0,0,0
40,106216,29,25513,20.0,3600,1,1,0,0,0,0,0,1
35,29187,23,5646,13.24,1080,1,0,1,0,0,0,0,1
64,35021,26,30018,19.92,360,0,0,1,1,0,0,0,0
37,30871,15,3737,13.06,360,1,0,1,0,0,0,0,1
66,24485,0,25257,6.21,360,0,0,0,0,1,0,0,0
43,65371,24,21873,17.07,720,1,0,0,0,1,0,0,0
45,120198,27,13187,18.29,1080,1,0,0,1,0,0,0,0
44,53587,10,14995,11.72,360,1,0,0,0,0,0,1,0
64,24259,13,12772,7.23,360,1,0,1,0,0,0,1,0
60,99108,1,23750,19.05,720,1,1,0,0,0,0,1,0
48,164624,23,24068,18.52,1080,1,0,1,0,0,0,1,0
34,40629,15,11371,8.94,1800,1,0,1,0,0,0,0,1
64,44930,3,21432,7.55,720,1,0,0,0,1,0,0,0
20,81584,0,17303,6.41,1080,1,0,0,0,0,0,0,0
44,158438,15,4833,8.32,3600,1,0,0,0,0,0,0,0
26,43831,14,25164,17.36,360,1,0,0,0,0,1,0,0
28,26917,1,11705,13.74,720,1,1,0,0,0,0,1,0
43,87452,12,5564,12.25,1800,1,0,0,0,0,0,0,0
20,96706,3,19263,18.49,720,1,1,0,1,0,0,0,0
63,60094,27,22135,10.12,1080,1,0,0,0,0,0,1,0
27,42835,19,26469,12.0,1080,1,0,1,1,0,0,0,0
43,108730,9,29382,19.32,720,1,0,1,0,0,0,0,1
30,82192,14,7432,9.15,720,1,1,0,0,0,0,1,0
36,37757,16,13742,15.38,360,1,0,1,0,0,0,1,0
27,61664,7,16975,7.52,3600,0,0,1,0,1,0,0,0
54,26608,1,25213,13.32,1800,0,0,1,0,0,0,0,0
54,90357,23,32494,17.77,1800,1,0,0,0,0,0,0,1
52,51157,25,26228,9.48,360,1,0,0,0,0,1,0,0
24,46100,4,19590,7.64,1080,1,0,1,1,0,0,0,0
61,58704,22,24299,18.12,1800,1,0,0,0,0,0,1,0
58,61339,22,2583,7.69,360,1,0,0,1,0,0,0,0
60,102432,4,12881,18.62,3600,0,0,1,0,1,0,0,0
47,85361,2,13856,15.86,1080,1,1,0,0,0,0,1,0
26,54510,21,20020,7.57,720,1,0,0,0,1,0,0,0
28,94674,10,28543,18.45,3600,0,0,0,0,1,0,0,0
27,76148,15,13665,8.7,1800,1,0,1,0,0,0,1,0
31,46352,20,18522,8.84,360,1,0,1,0,0,1,0,0
53,55557,8,17079,16.36,720,1,0,0,0,0,0,0,0
52,54779,3,27109,14.25,1800,0,1,0,1,0,0,0,0
67,81077,8,21948,17.43,1800,1,0,1,1,0,0,0,0
42,48039,13,11912,10.91,720,1,0,1,0,0,0,0,1
43,47370,9,28611,15.9,360,0,0,0,0,0,0,0,1
56,195097,21,6904,13.27,1080,1,0,1,0,0,0,0,0
54,105223,15,20385,12.78,1800,1,0,0,0,0,0,0,0
63,37935,8,33829,14.45,3600,0,0,0,0,1,0,0,0
59,84336,2,28725,18.68,1800,1,0,1,0,0,0,0,1
41,64280,27,12549,14.44,1800,1,0,1,0,1,0,0,0
46,75730,29,8928,13.18,1800,1,0,0,0,0,0,0,1
54,65017,28,11640,19.77,3600,1,0,0,0,0,0,0,1
20,122245,4,34765,17.43,360,1,0,0,0,0,0,0,0
54,73671,27,18208,5.19,1800,1,1,0,0,0,0,0,1
56,57684,21,32927,8.57,1800,0,0,1,0,0,1,0,0
66,111894,19,12224,11.55,720,1,1,0,0,1,0,0,0
33,68869,10,28205,11.63,1800,1,0,0,0,0,0,0,0
22,64401,4,34123,19.3,1800,1,0,1,0,0,0,0,1
20,72288,0,31310,9.51,1080,1,0,1,0,0,0,0,0
24,56603,1,10137,19.55,1080,1,1,0,0,0,1,0,0
45,60206,0,17014,5.49,720,1,1,0,1,0,0,0,0
33,42107,4,29964,18.56,360,0,0,0,0,0,0,0,1
58,38150,8,23689,14.56,1800,0,0,1,0,0,1,0,0
46,32887,2,22734,11.14,360,0,0,1,0,0,0,1,0
28,25972,11,33071,19.85,1800,0,0,0,0,0,0,0,0
34,35318,17,13586,19.97,360,1,0,0,1,0,0,0,0
34,53929,27,7543,11.3,3600,1,1,0,0,0,0,1,0
45,63695,1,28204,7.9,1800,1,0,0,0,0,0,0,1
61,50879,9,11754,11.85,1080,1,0,1,0,0,0,1,0
32,14567,6,9899,17.49,360,1,0,0,0,0,0,0,1
51,154006,29,25416,15.56,720,1,0,1,0,0,1,0,0
58,114908,21,27812,5.88,3600,1,0,1,0,0,1,0,0
68,78233,17,33526,8.34,1080,1,0,1,0,1,0,0,0
51,188055,15,10611,11.99,3600,1,0,0,1,0,0,0,0
23,33308,0,12159,19.38,3600,0,0,1,0,1,0,0,0
49,185827,0,33333,14.25,360,1,0,1,0,0,0,1,0
56,33552,6,24232,5.76,360,0,0,1,0,0,0,0,0
42,69095,29,12012,10.75,1800,1,0,1,0,1,0,0,0
58,27880,10,25417,18.6,3600,0,0,1,0,0,1,0,0
64,60404,5,3156,12.59,1800,1,0,1,0,0,1,0,0
34,75485,20,16870,6.46,3600,1,0,1,0,0,0,0,1
62,54567,4,10006,13.98,3600,1,0,1,0,1,0,0,0
48,91888,9,17519,15.16,1800,1,1,0,1,0,0,0,0
55,63538,28,2074,16.29,1080,1,0,0,1,0,0,0,0
32,43763,2,21843,10.04,1800,1,0,1,0,1,0,0,0
51,42612,26,28172,15.51,720,1,1,0,0,0,0,0,1
26,97396,14,23229,9.8,720,1,0,0,0,0,0,0,0
41,40447,11,22803,12.8,720,1,0,0,0,0,1,0,0
47,103698,4,34456,5.29,720,1,1,0,1,0,0,0,0
21,124695,4,21683,15.11,1080,1,1,0,0,0,0,0,1
61,21999,11,27487,10.68,720,0,0,0,0,1,0,0,0
64,118155,21,30725,15.58,1080,1,1,0,0,0,0,1,0
25,206128,10,9939,19.47,1080,1,0,1,0,1,0,0,0
47,69647,22,6682,6.22,1800,1,1,0,1,0,0,0,0
47,85772,22,22326,17.89,360,1,0,0,0,0,1,0,0
63,111547,12,27413,8.49,720,1,0,0,0,0,1,0,0
63,50752,9,5999,8.63,360,1,0,1,0,0,1,0,0
39,66793,9,2413,8.39,720,1,0,0,0,0,0,1,0
49,27213,23,27810,7.06,360,0,0,1,0,0,0,1,0
30,65067,20,22621,7.94,360,1,0,1,0,0,1,0,0
47,80730,13,19765,16.14,1080,1,0,0,0,0,0,0,1
44,81609,19,28246,16.53,720,1,1,0,0,1,0,0,0
58,113465,15,5482,19.42,720,1,0,1,0,0,0,0,1
52,37613,11,3847,6.56,720,1,1,0,0,0,1,0,0
20,43496,0,16063,7.26,360,0,0,1,0,0,0,0,1
46,186708,17,34906,18.28,1800,1,0,0,0,0,0,0,0
32,54710,23,27071,13.47,720,1,0,1,0,0,1,0,0
60,67509,3,29957,13.18,1080,1,0,0,1,0,0,0,0
22,57514,3,8984,16.58,360,1,0,1,0,0,0,0,0
58,36570,0,26176,13.29,360,0,0,1,0,1,0,0,0
25,158596,17,29081,5.93,1080,1,0,1,0,0,0,0,0
27,43624,14,26041,18.49,3600,1,0,0,0,0,0,0,1
46,30443,16,17273,7.01,3600,1,1,0,0,0,0,0,0
28,45686,20,25878,12.2,1800,1,0,0,0,0,0,1,0
56,18015,0,25468,10.47,1800,0,1,0,0,0,0,0,1
52,40506,26,27973,10.55,3600,0,0,0,0,0,0,0,1
61,33494,13,18972,9.26,3600,0,0,1,0,0,0,1,0
63,86721,11,15168,19.36,360,1,0,0,0,0,0,0,0
43,39972,24,22821,6.26,3600,0,0,0,0,0,0,0,1
34,101995,26,20996,17.04,1800,1,0,0,0,0,0,0,1
51,138564,10,4004,10.89,3600,1,0,0,0,1,0,0,0
51,95674,19,30819,5.79,1080,1,0,0,1,0,0,0,0
43,52615,25,1685,13.6,3600,1,0,0,0,1,0,0,0
60,65164,18,32774,10.58,1800,0,0,1,0,0,0,0,1
68,23980,29,33752,8.31,720,0,0,1,0,0,0,0,1
68,55256,24,11561,10.56,1800,1,1,0,0,0,0,1,0
31,35729,3,13605,19.66,3600,1,0,0,0,1,0,0,0
58,90816,16,32670,16.49,360,1,1,0,0,0,0,0,1
21,280310,0,15932,17.3,360,1,0,0,0,0,0,0,1
22,80812,3,5069,12.88,1080,1,0,1,0,0,0,0,0
68,18129,26,28221,9.43,360,0,0,0,0,0,0,0,1
56,48207,0,7301,13.22,3600,0,0,1,0,0,1,0,0
68,64440,5,24316,13.18,720,0,1,0,0,0,1,0,0
36,63096,6,34101,7.22,720,1,1,0,1,0,0,0,0
68,38619,0,24138,14.93,360,1,1,0,0,0,1,0,0
21,69367,3,22741,16.72,3600,0,0,0,0,0,1,0,0
21,28410,2,14463,13.23,360,0,0,1,0,0,0,1,0
47,33963,22,22609,10.95,1800,1,0,0,0,0,0,1,0
42,88210,15,29428,14.58,1080,1,0,1,1,0,0,0,0
56,32552,26,32637,13.06,1800,1,0,0,0,0,0,1,0
51,82696,1,32280,6.25,720,1,0,1,0,0,0,0,1
52,26326,1,26135,10.62,1800,0,0,1,1,0,0,0,0
20,172628,3,12024,18.89,720,1,0,1,0,0,0,0,1
38,37625,19,23931,5.92,1080,1,0,0,0,0,0,0,0
21,52354,3,4176,9.26,1080,1,0,0,0,0,0,1,0
63,73011,7,32869,17.85,720,1,1,0,0,0,0,0,1
45,42650,18,20645,5.02,3600,1,0,0,0,0,0,0,0
51,65254,23,13201,19.12,360,1,1,0,0,0,0,1,0
25,84559,22,17420,15.32,1080,1,0,1,0,0,0,1,0
51,106549,20,11215,10.69,1080,1,0,1,1,0,0,0,0
23,96268,1,17579,5.43,360,1,0,1,0,0,1,0,0
30,54009,27,18701,5.68,1080,1,0,1,0,0,1,0,0
36,54831,19,9636,9.43,1080,1,0,1,0,0,0,0,1
57,245110,13,2372,14.89,3600,1,1,0,1,0,0,0,0
43,105866,25,28324,6.01,1800,1,0,0,0,0,1,0,0
24,34437,0,13559,18.22,1800,1,1,0,0,1,0,0,0
53,63576,17,32969,17.86,360,1,1,0,0,0,0,0,1
25,48967,24,9532,9.28,720,1,0,1,0,1,0,0,0
41,55204,19,33536,7.92,360,1,0,1,0,0,0,0,1
30,28632,4,26714,11.44,1080,0,0,1,0,0,1,0,0
67,46762,1,9453,9.24,1800,1,1,0,0,0,0,0,0
35,177536,1,22205,19.26,1800,1,1,0,0,0,0,0,1
52,84748,1,5686,13.74,720,1,0,1,0,0,1,0,0
28,13430,25,9273,16.04,1800,1,0,1,0,0,0,0,0
25,124247,1,33600,12.96,360,1,1,0,0,0,1,0,0
35,115125,8,27712,17.55,720,1,0,0,0,0,0,0,1
48,48263,28,19924,6.47,3600,1,0,1,0,0,0,0,0
22,92074,1,7969,15.84,360,1,0,1,0,0,0,0,1
39,35751,20,23954,16.51,1080,0,0,0,0,0,1,0,0
55,45154,26,1182,10.4,3600,1,1,0,1,0,0,0,0
38,147138,21,9484,6.28,1800,1,0,0,1,0,0,0,0
45,50866,19,18569,14.8,1800,1,0,1,0,0,1,0,0
22,19499,4,6039,9.56,720,1,0,0,0,0,0,1,0
38,57642,2,30913,13.75,3600,0,0,1,0,0,0,0,0
39,57116,29,29583,18.22,1080,1,1,0,1,0,0,0,0
51,122887,18,7163,17.48,1800,1,0,1,0,0,1,0,0
26,60391,15,24546,13.64,360,1,0,1,0,0,0,1,0
60,46492,10,19367,6.63,1800,1,0,0,0,0,0,0,1
52,112087,26,2686,11.71,720,1,1,0,0,0,0,0,1
59,64374,25,17946,15.89,1080,1,1,0,0,0,0,0,1
58,38176,23,7498,13.51,1080,1,1,0,0,0,1,0,0
37,119730,23,15987,9.94,1800,1,0,1,0,1,0,0,0
59,67251,14,30311,9.63,3600,1,0,0,0,1,0,0,0
20,59979,2,33420,15.18,3600,0,0,1,0,0,0,0,0
30,66618,10,27603,14.48,3600,0,0,0,0,0,1,0,0
47,31495,28,10235,13.88,1080,1,1,0,0,0,0,1,0
44,43625,9,22753,19.28,360,1,1,0,0,0,0,0,0
69,60002,26,22848,18.42,1080,1,0,1,0,0,0,0,1
42,53273,23,33530,9.71,1080,1,0,1,1,0,0,0,0
50,128470,18,14653,8.73,1800,1,0,1,1,0,0,0,0
49,68216,22,2443,18.84,1800,1,0,1,1,0,0,0,0
61,100001,4,17116,8.12,3600,1,0,0,0,1,0,0,0
54,60212,13,14846,19.66,1080,1,0,0,0,0,0,1,0
26,112845,8,29415,8.23,1080,1,1,0,0,1,0,0,0
35,76002,24,5509,6.62,720,1,0,1,0,0,0,0,1
45,60358,20,23653,10.86,1800,1,0,0,1,0,0,0,0
67,59398,5,3778,18.51,720,1,0,0,0,0,0,0,0
68,33770,0,33108,15.97,1080,0,0,1,1,0,0,0,0
21,81157,3,21082,13.98,360,1,1,0,0,0,0,1,0
20,58447,4,14524,15.52,720,1,0,0,1,0,0,0,0
67,44302,11,23867,12.8,1800,0,0,1,0,1,0,0,0
31,116294,13,12371,9.77,1080,1,0,1,0,0,0,1,0
24,28278,1,23095,12.46,720,0,1,0,0,0,0,1,0
56,46467,14,11752,10.7,1800,1,0,1,0,0,0,0,0
51,110927,16,24586,16.52,1080,1,0,1,0,0,0,1,0
28,72353,19,19505,7.5,1080,1,0,1,0,0,1,0,0
60,58179,11,18766,11.75,720,1,0,0,0,0,0,0,1
54,69605,0,1358,6.6,720,1,0,0,0,0,0,1,0
38,66679,12,21226,5.65,1800,1,1,0,0,0,1,0,0
67,24100,29,19813,8.49,360,1,1,0,0,0,1,0,0
35,48554,9,25486,7.42,720,1,0,0,1,0,0,0,0
22,157930,3,29516,16.73,1800,1,1,0,0,0,0,0,0
39,40312,5,32975,7.41,1080,0,0,1,1,0,0,0,0
43,49464,8,23075,15.09,1800,0,0,0,0,0,0,0,0
52,43261,17,3390,12.54,720,1,0,1,1,0,0,0,0
43,56828,1,6897,10.42,3600,1,1,0,1,0,0,0,0
30,42197,5,1608,5.93,720,1,0,0,0,0,1,0,0
68,80181,10,23950,11.25,1800,1,0,1,0,0,0,0,1
27,67399,25,10292,13.53,3600,1,0,0,0,0,1,0,0
55,95237,27,21010,6.77,720,1,0,1,1,0,0,0,0
57,31870,12,28847,18.64,360,0,0,0,0,0,0,0,1
59,48815,5,7108,6.66,3600,1,0,0,1,0,0,0,0
39,52290,11,9740,17.46,1800,1,0,0,1,0,0,0,0
54,78699,18,12378,16.75,3600,1,0,0,0,0,0,0,1
67,37200,17,30713,18.27,3600,0,0,1,0,0,1,0,0
44,103713,29,30917,6.59,1800,1,0,0,0,0,0,1,0
54,122008,18,33173,11.9,360,1,0,0,0,1,0,0,0
44,33079,27,19609,9.72,1800,1,1,0,1,0,0,0,0
48,44599,11,7032,15.29,3600,1,1,0,0,0,0,1,0
37,43514,19,28322,7.81,1800,0,0,1,0,0,1,0,0
65,290521,12,27499,6.35,1080,1,1,0,0,0,0,1,0
37,46261,19,6288,8.28,1800,1,0,1,0,0,1,0,0
21,163828,3,3102,19.88,360,1,0,0,0,0,0,1,0
54,28001,3,31340,8.83,1800,0,0,1,0,0,0,1,0
35,33064,25,32646,9.3,1080,0,1,0,1,0,0,0,0
60,39657,29,17955,15.83,1080,1,0,0,0,0,0,0,1
55,36047,21,19090,9.68,3600,0,0,1,0,0,0,0,1
52,50983,5,20464,12.93,1800,1,0,1,0,0,1,0,0
23,39133,1,3489,16.26,1800,1,0,1,1,0,0,0,0
52,36621,29,1911,10.02,360,1,1,0,0,0,0,1,0
33,119980,9,5549,10.41,1800,1,0,1,0,0,1,0,0
40,124776,2,2016,8.35,720,1,0,0,0,0,0,0,1
67,105828,8,29194,16.25,1080,1,0,0,0,0,0,1,0
39,81993,14,31164,19.89,360,1,1,0,1,0,0,0,0
27,63300,29,19399,5.94,360,1,0,0,0,0,1,0,0
26,44434,25,12980,11.11,3600,1,0,1,0,1,0,0,0
22,33796,1,22157,10.15,1800,0,1,0,0,0,0,0,0
36,74443,4,32537,10.32,1800,0,1,0,1,0,0,0,0
52,29608,25,16755,12.86,1800,1,0,1,0,1,0,0,0
67,32979,24,5192,14.88,3600,1,0,0,0,0,1,0,0
31,119580,25,21893,12.37,1800,1,0,0,0,0,0,1,0
41,187285,21,32448,16.42,1800,1,0,0,0,0,1,0,0
41,75809,21,12485,5.95,1080,1,0,0,1,0,0,0,0
65,116293,8,5982,17.01,1800,1,1,0,0,0,0,0,1
49,51662,28,11107,18.24,360,1,0,0,0,1,0,0,0
57,26833,25,2481,13.96,1800,1,1,0,0,1,0,0,0
57,86448,14,30027,9.8,720,1,0,0,0,0,0,0,1
64,84252,12,31278,12.11,720,1,0,1,1,0,0,0,0
27,62504,20,8418,13.93,720,1,0,1,0,0,0,1,0
46,51770,2,9971,16.94,1080,1,0,1,0,0,0,0,1
46,106651,18,18313,16.76,720,1,0,1,0,0,0,0,0
53,33142,1,12440,10.21,720,1,1,0,0,0,0,0,0
40,37636,17,14707,11.5,3600,1,0,1,0,0,0,0,0
49,32700,13,13655,16.48,720,1,0,1,0,0,1,0,0
52,63005,21,1637,11.43,720,1,0,1,0,0,0,1,0
47,31171,23,8193,14.53,1800,1,1,0,0,0,0,1,0
66,39713,12,21528,19.8,360,0,0,1,0,0,0,0,1
52,39204,26,30001,17.61,360,1,1,0,1,0,0,0,0
24,51207,2,33168,8.27,720,0,0,1,0,0,0,0,0
67,24528,7,8946,11.18,1800,1,1,0,0,1,0,0,0
38,63090,9,26193,13.18,720,1,0,1,0,0,0,0,0
23,126548,0,15638,13.97,360,1,0,1,1,0,0,0,0
54,64944,1,26997,9.47,720,0,0,1,1,0,0,0,0
68,150963,9,31521,18.8,720,1,0,0,0,0,0,0,0
36,133305,26,30716,18.65,360,1,0,0,1,0,0,0,0
63,95477,1,6323,7.46,720,1,0,0,0,0,1,0,0
47,62618,28,6657,18.95,3600,1,1,0,0,0,0,0,1
49,60687,25,4202,11.68,3600,1,0,1,0,1,0,0,0
48,94682,22,19391,11.57,3600,1,0,0,0,1,0,0,0
65,47334,3,14104,7.74,1800,1,0,1,0,0,1,0,0
25,19350,21,9488,6.26,360,1,0,1,0,0,0,0,0
54,80434,8,5114,8.73,3600,1,0,0,0,0,0,0,1
60,30374,20,5662,18.2,1800,1,0,1,0,0,0,0,1
56,33614,9,18921,11.1,720,1,0,0,0,1,0,0,0
43,59882,3,34449,18.79,1800,0,0,1,0,0,0,0,1
48,56552,2,21054,14.0,3600,0,0,1,0,0,0,1,0
68,25661,6,30517,5.12,360,0,1,0,0,0,0,1,0
65,66124,22,8593,9.96,3600,1,0,1,0,0,0,0,1
50,106903,22,34657,6.91,3600,1,0,0,0,0,0,1,0
54,30424,15,14883,16.18,720,1,0,0,0,0,1,0,0
52,128475,4,24405,15.16,3600,1,0,1,0,0,0,0,0
40,23479,12,22810,8.43,1080,0,1,0,0,1,0,0,0
51,213287,9,14517,8.13,1800,1,0,0,0,0,0,0,0
42,46781,23,7267,18.54,360,1,0,0,0,1,0,0,0
52,65340,26,10362,6.76,3600,1,0,1,0,0,0,0,0
22,19240,0,12523,5.5,1800,1,0,0,1,0,0,0,0
37,57683,15,1040,10.49,720,1,0,0,0,0,1,0,0
44,68671,19,34679,13.46,1800,1,0,1,0,1,0,0,0
61,56857,0,9059,18.79,360,1,0,0,0,0,0,0,0
50,42708,5,23710,18.67,720,1,0,0,0,0,0,0,0
22,33930,3,8187,7.09,360,1,0,0,0,0,0,0,0
59,117985,18,16235,16.8,1800,1,1,0,0,0,0,0,0
65,60991,0,17932,19.02,1080,1,0,0,0,0,0,1,0
43,150911,27,31591,17.5,1080,1,0,1,0,0,0,1,0
69,43656,4,5373,11.21,720,1,0,0,0,0,1,0,0
51,46125,11,34638,8.12,1800,0,1,0,0,0,1,0,0
66,97670,29,16998,18.73,720,1,1,0,0,0,0,0,0
41,22611,16,15057,12.98,1800,0,0,0,0,0,0,0,0
42,28909,18,18965,8.8,3600,0,1,0,0,0,0,0,0
21,115669,2,1281,9.85,3600,1,0,0,1,0,0,0,0
46,29638,9,6796,13.43,360,1,0,0,0,1,0,0,0
61,20101,24,21014,11.09,360,0,0,0,0,0,0,0,1
21,183710,3,23575,5.6,1800,1,0,1,0,1,0,0,0
45,25944,8,18286,13.62,1080,1,0,0,0,0,0,1,0
36,66867,6,34438,11.09,360,1,0,0,0,0,0,0,0
59,62408,23,14756,12.1,1080,1,0,1,0,1,0,0,0
52,11088,5,28821,16.29,360,0,0,1,0,1,0,0,0
28,51001,14,1945,5.39,360,1,0,0,1,0,0,0,0
62,78358,12,7998,5.99,360,1,1,0,1,0,0,0,0
67,74056,13,21418,5.02,360,1,0,1,1,0,0,0,0
58,102961,4,27194,11.37,1800,1,1,0,0,0,0,1,0
48,47453,25,32023,9.21,720,1,0,1,0,1,0,0,0
61,91812,28,12933,11.14,360,1,0,0,0,0,0,0,1
45,39592,23,11494,13.66,1800,1,1,0,0,0,0,0,0
54,25686,27,21777,5.12,360,0,1,0,0,0,0,0,0
69,27484,29,27335,7.38,3600,0,0,0,0,0,0,0,1
44,24902,29,29712,6.92,1080,0,0,1,0,0,0,1,0
43,109727,29,5198,14.32,3600,1,0,1,1,0,0,0,0
32,24131,1,32868,13.87,1080,0,0,0,0,0,0,0,0
26,70574,6,22015,6.16,3600,1,0,0,1,0,0,0,0
55,51044,29,17683,17.02,360,1,0,1,0,0,0,0,1
64,56297,0,34936,7.41,720,1,0,0,0,0,0,0,0
39,135694,15,34992,7.6,1080,1,1,0,0,0,0,0,0
20,46025,2,22912,11.04,3600,0,0,1,0,0,0,0,0
27,86418,14,15859,9.98,720,1,0,1,0,0,1,0,0
65,61238,5,19515,19.48,360,1,0,1,0,0,0,0,1
35,54654,19,18965,18.61,720,1,0,1,0,0,0,0,1
33,237989,18,13588,5.76,360,1,0,1,1,0,0,0,0
31,25215,8,23386,10.88,1080,0,0,1,0,0,0,1,0
42,129764,21,28556,16.75,720,1,0,0,0,0,0,0,0
